1;27.37;23.54;36.18;12.58;23.17;56.18;
2;7.07;15.12;19.35;7.91;4.81;24.38;
3;16.72;59.24;70.76;58.42;70.76;70.76;
4;27.96;10.34;34.46;17.13;35.53;12.42;
5;32.71;35.46;41.86;25.75;24.72;23.04;
6;6.25;52.17;63.77;51.90;63.77;63.77;
7;28.08;65.25;65.25;65.25;65.25;65.25;
8;8.81;49.63;71.92;49.41;48.69;71.92;
9;8.43;14.99;68.58;8.14;37.35;68.58;
10;24.40;26.66;39.64;14.47;15.29;7.64;
12;1.88;26.92;32.98;10.68;39.12;32.98;
13;18.79;2.13;28.14;6.23;10.89;45.32;
14;5.31;5.31;32.39;5.31;32.39;32.39;
15;17.33;27.25;28.61;18.55;20.64;14.01;
16;7.55;39.66;14.91;12.96;23.13;53.99;
17;71.07;73.92;64.13;75.44;73.93;77.76;
18;7.90;77.73;27.73;77.73;77.73;37.72;
19;13.64;31.60;31.87;7.54;9.23;23.15;
21;32.61;32.13;30.52;10.77;22.21;34.09;
22;51.75;13.38;33.78;9.92;19.47;18.25;
23;20.58;31.35;37.45;21.38;28.61;9.52;
25;24.18;88.95;33.47;88.95;88.95;33.35;
26;20.39;28.65;40.68;18.59;20.14;27.15;
28;20.73;13.77;31.43;7.28;25.85;31.10;
29;79.32;46.94;11.49;2.04;14.58;35.43;
30;23.81;20.26;18.40;9.51;11.93;10.37;
31;23.46;59.50;52.96;59.50;49.32;52.91;
32;8.52;37.71;62.61;37.83;27.72;62.61;
33;10.40;50.62;42.78;50.31;54.42;51.89;
34;12.63;15.54;15.99;10.08;20.62;61.94;
35;36.96;81.05;26.87;81.05;81.05;36.59;
36;24.51;34.57;43.37;23.77;25.78;13.89;
37;7.17;18.23;36.45;9.58;26.38;17.82;
38;63.17;17.86;19.93;13.34;16.87;7.55;
39;8.73;31.94;21.58;9.30;11.71;7.43;
